EXISTING DESTINATIONS (id|city|country):
gem:berat|Berat|Albania
gem:gjirokaster|Gjirokastër|Albania
gem:himara|Himara|Albania
gem:kruje|Krujë|Albania
gem:ksamil|Ksamil|Albania
gem:shkoder|Shkodër|Albania
gem:theth|Theth & Albanian Alps|Albania
TIA|Tirana|Albania
gem:andorra-la-vella|Andorra la Vella|Andorra
gem:bad-ischl|Bad Ischl|Austria
gem:durnstein|Dürnstein|Austria
GRZ|Graz|Austria
gem:hallstatt|Hallstatt|Austria
INN|Innsbruck|Austria
KLU|Klagenfurt|Austria
LNZ|Linz|Austria
gem:melk|Melk|Austria
SZG|Salzburg|Austria
gem:st-anton|St. Anton am Arlberg|Austria
gem:st-wolfgang|St. Wolfgang|Austria
VIE|Vienna|Austria
gem:zell-am-see|Zell am See|Austria
gem:antwerp|Antwerp|Belgium
gem:bouillon|Bouillon|Belgium
gem:bruges|Bruges|Belgium
BRU|Brussels|Belgium
CRL|Charleroi|Belgium
gem:dinant|Dinant|Belgium
gem:ghent|Ghent|Belgium
gem:leuven|Leuven|Belgium
gem:mechelen|Mechelen|Belgium
gem:ypres|Ypres|Belgium
BNX|Banja Luka|Bosnia and Herzegovina
gem:bihac-una|Bihać & Una Falls|Bosnia and Herzegovina
gem:blagaj|Blagaj|Bosnia and Herzegovina
gem:jajce|Jajce|Bosnia and Herzegovina
gem:mostar-ba|Mostar|Bosnia and Herzegovina
gem:pocitelj|Počitelj|Bosnia and Herzegovina
SJJ|Sarajevo|Bosnia and Herzegovina
TZL|Tuzla|Bosnia and Herzegovina
gem:bansko|Bansko|Bulgaria
BOJ|Burgas|Bulgaria
gem:koprivshtitsa|Koprivshtitsa|Bulgaria
gem:melnik|Melnik|Bulgaria
gem:nesebar|Nesebar|Bulgaria
PDV|Plovdiv|Bulgaria
gem:rila|Rila Monastery|Bulgaria
SOF|Sofia|Bulgaria
VAR|Varna|Bulgaria
gem:veliko-tarnovo|Veliko Tarnovo|Bulgaria
DBV|Dubrovnik|Croatia
gem:groznjan|Grožnjan|Croatia
gem:hvar|Hvar|Croatia
gem:korcula|Korčula|Croatia
gem:krka|Krka National Park|Croatia
gem:makarska|Makarska|Croatia
gem:mljet|Mljet|Croatia
gem:motovun|Motovun|Croatia
OSI|Osijek|Croatia
gem:plitvice|Plitvice Lakes|Croatia
PUY|Pula|Croatia
RJK|Rijeka|Croatia
gem:rovinj|Rovinj|Croatia
SPU|Split|Croatia
gem:trogir|Trogir|Croatia
ZAD|Zadar|Croatia
ZAG|Zagreb|Croatia
gem:sibenik|Šibenik|Croatia
gem:ayia-napa|Ayia Napa & Cape Greco|Cyprus
LCA|Larnaca|Cyprus
gem:limassol|Limassol|Cyprus
gem:nicosia|Nicosia|Cyprus
PFO|Paphos|Cyprus
gem:polis-akamas|Polis & Akamas|Cyprus
gem:troodos|Troodos Mountains|Cyprus
gem:bohemian-switzerland|Bohemian Switzerland|Czechia
BRQ|Brno|Czechia
gem:karlovy-vary|Karlovy Vary|Czechia
gem:kutna-hora|Kutná Hora|Czechia
gem:mikulov|Mikulov|Czechia
gem:olomouc|Olomouc|Czechia
gem:plzen|Pilsen|Czechia
PRG|Prague|Czechia
gem:telc|Telč|Czechia
gem:cesky-krumlov|Český Krumlov|Czechia
AAL|Aalborg|Denmark
gem:aarhus|Aarhus|Denmark
BLL|Billund|Denmark
CPH|Copenhagen|Denmark
gem:mons-klint|Møns Klint|Denmark
gem:odense|Odense|Denmark
gem:ribe|Ribe|Denmark
gem:roskilde|Roskilde|Denmark
gem:skagen|Skagen|Denmark
gem:haapsalu|Haapsalu|Estonia
gem:lahemaa|Lahemaa National Park|Estonia
gem:parnu|Pärnu|Estonia
gem:saaremaa|Saaremaa|Estonia
TLL|Tallinn|Estonia
gem:tartu|Tartu|Estonia
gem:gjogv|Gjógv|Faroe Islands
gem:mykines|Mykines|Faroe Islands
gem:saksun|Saksun|Faroe Islands
gem:torshavn|Tórshavn|Faroe Islands
FAE|Vágar (Faroe Islands)|Faroe Islands
HEL|Helsinki|Finland
OUL|Oulu|Finland
gem:porvoo|Porvoo|Finland
gem:rauma|Rauma|Finland
RVN|Rovaniemi|Finland
gem:savonlinna|Savonlinna|Finland
TMP|Tampere|Finland
TKU|Turku|Finland
gem:aland|Åland (Mariehamn)|Finland
gem:aix|Aix-en-Provence|France
AJA|Ajaccio (Corsica)|France
gem:annecy|Annecy|France
gem:avignon|Avignon|France
BIA|Bastia (Corsica)|France
EGC|Bergerac|France
BIQ|Biarritz|France
gem:bonifacio|Bonifacio|France
BOD|Bordeaux|France
BES|Brest|France
BVE|Brive|France
BZR|Béziers|France
CLY|Calvi (Corsica)|France
CCF|Carcassonne|France
gem:cassis|Cassis|France
gem:chamonix|Chamonix|France
gem:colmar|Colmar|France
FSC|Figari (Corsica)|France
gem:honfleur|Honfleur|France
LRH|La Rochelle|France
LIG|Limoges|France
gem:loire-valley|Loire Valley (Tours)|France
LDE|Lourdes|France
gem:provence-luberon|Luberon (Gordes)|France
LYS|Lyon|France
MRS|Marseille|France
gem:menton|Menton|France
gem:mont-saint-michel|Mont-Saint-Michel|France
MPL|Montpellier|France
NTE|Nantes|France
NCE|Nice|France
NIM|Nîmes|France
BVA|Paris (Beauvais)|France
CDG|Paris (CDG)|France
ORY|Paris (Orly)|France
PGF|Perpignan|France
RNS|Rennes|France
RDZ|Rodez|France
gem:biarritz-coast|Saint-Jean-de-Luz|France
gem:saint-malo|Saint-Malo|France
gem:strasbourg|Strasbourg|France
TLS|Toulouse|France
gem:nice-villefranche|Villefranche-sur-Mer|France
gem:eze|Èze|France
gem:etretat|Étretat|France
gem:baden-baden|Baden-Baden|Germany
gem:bamberg|Bamberg|Germany
BER|Berlin|Germany
BRE|Bremen|Germany
CGN|Cologne-Bonn|Germany
