rank,curation_rank,title,ref,network,distance_km,popularity,pageviews_day,sitelinks,anchors,quality_score,portal_agreement,status,family_members,trip_id,osm_relation
1,88.85,GR 14 Parcours Principal,GR 14,nwn,261.4,0.824,0,0,"Zum Haller (1453/day, 1562 m); House of Bouillon (669/day, 131 m); Stavelot (80/day, 316 m)",100,agree,needs_review,1,25422,2929186
2,80.85,GRT-BVW 21 Limbourg - Clermont-sur-Berwinne,BVW,nwn,79.2,0.803,0,0,"Bildchen (1044/day, 1372 m); drielandenpunt (140/day, 5 m); Vaalserberg (140/day, 31 m)",95,,needs_review,35,101013,19396199
3,79.08,GR 14 Monschau - Bouillon - Sedan,,nwn,261.4,0.545,0,0,"Zum Haller (1453/day, 1562 m); House of Bouillon (669/day, 131 m); Stavelot (80/day, 316 m)",100,agree,needs_review,1,42231,20181417
4,77.96,RVN 5 - Pe 2 - 08 - Roosteren-Thorn,RvN,iwn,11.9,0.578,0,0,"Sint-Annakerk (113/day, 35 m); Thorn (17/day, 811 m)",95,,needs_review,1,93975,9433019
5,77.43,"Via Brabantica, Mechelen - Brussels",,iwn,34.5,0.562,0,0,"Conservatoire royal de Bruxelles - Koninklijk Conservatorium Brussel (1896/day, 909 m); Manneken Peace (1896/day, 483 m); Brussels (1880/day, 188 m)",95,,needs_review,1,100804,18645474
6,77.43,"GR 12 Vlaanderen, Bruxelles - Braine-le-Château",,iwn,38.7,0.562,0,0,"Manneken Peace (1896/day, 7 m); Conservatoire royal de Bruxelles - Koninklijk Conservatorium Brussel (1896/day, 57 m); Brussels (1880/day, 15 m)",95,,needs_review,1,99006,15800362
7,77.43,"Via Brabantica, Brussels - Halle",,iwn,23.7,0.562,0,0,"Conservatoire royal de Bruxelles - Koninklijk Conservatorium Brussel (1896/day, 342 m); Manneken Peace (1896/day, 7 m); Brussels (1880/day, 1 m)",95,,needs_review,1,100721,18629712
8,76.63,"Via Brabantica, Antwerpen - Mechelen (variant)",,iwn,27.4,0.54,0,0,"Siege of Antwerp (1336/day, 1412 m); Antwerp (1322/day, 1260 m); Antwerp Diamond Heist (595/day, 192 m)",95,,needs_review,1,100825,18665061
9,76.63,"Via Brabantica, Antwerpen - Mechelen",,iwn,43.8,0.54,0,0,"Siege of Antwerp (1336/day, 737 m); Antwerp (1322/day, 485 m); Antwerp Diamond Heist (595/day, 347 m)",95,,needs_review,1,100984,19223415
10,76.63,"Via Brabantica, Kapellen - Antwerpen",,iwn,17.3,0.54,0,0,"Siege of Antwerp (1336/day, 439 m); Antwerp (1322/day, 125 m); Antwerp Diamond Heist (595/day, 347 m)",95,,needs_review,1,100824,18665060
11,76.1,GR 5A Wandelronde van Vlaanderen (Antwerpen),GR 5A,nwn,13.2,0.667,0,0,"Siege of Antwerp (1336/day, 960 m); Antwerp (1322/day, 1041 m); Cathedral of Our Lady (114/day, 951 m)",95,,needs_review,6,98370,14001842
12,75.85,GR 128 Variant Gent-Destelbergen,GR 128,nwn,9.6,0.653,0,0,"Ghent (867/day, 246 m); Stadsmuseum Gent (866/day, 1317 m); De Graslei (866/day, 81 m)",96,,needs_review,6,96033,11558750
13,75.71,GR 121 De Liège à la Côte d'Opale Parcours principal (ongoing correction),GR 121,nwn,164.4,0.792,0,0,"Conservatoire royal de Bruxelles - Koninklijk Conservatorium Brussel (1896/day, 464 m); Manneken Peace (1896/day, 414 m); Brussels (1880/day, 362 m)",76,,needs_review,2,81217,53358
14,75.7,GR 126 - Liaison GR 128 Brussegem,GR 126,nwn,18.2,0.656,0,0,"Conservatoire royal de Bruxelles - Koninklijk Conservatorium Brussel (1896/day, 1107 m); Manneken Peace (1896/day, 731 m); Brussels (1880/day, 512 m)",95,,needs_review,4,97161,12513964
15,74.63,"GR 12 Vlaanderen, Bergen op Zoom - Bruxelles",,iwn,139.2,0.562,0,0,"Conservatoire royal de Bruxelles - Koninklijk Conservatorium Brussel (1896/day, 1112 m); Manneken Peace (1896/day, 845 m); Brussels (1880/day, 613 m)",83.8,,needs_review,1,99007,15800363
