rank,curation_rank,title,ref,network,distance_km,popularity,pageviews_day,sitelinks,anchors,quality_score,portal_agreement,status,family_members,trip_id,osm_relation
1,90.23,"SPHC, étape 12",,iwn,23.3,0.721,0,0,"Grotte Chauvet (414/day, 128 m); Pont d'Arc (30/day, 780 m)",100,agree,published,24,34786,15010170
2,89.98,"Via Francigena France 02, Arras - Reims",GR 145,iwn,228.5,0.714,85,30,"Battle of Reims (727/day, 976 m); Reims (727/day, 976 m); Reims Cathedral (395/day, 142 m)",100,agree,needs_review,7,28132,8312991
3,88.94,Chemin de Stevenson - Part 8,GR 70,nwn,32.4,0.827,221,7,,100,agree,needs_review,13,27686,7501509
4,85.54,Chemin du Piémont Pyrénéen,24,nwn,16.7,0.73,0,0,"Pic du Grand Jer (421/day, 510 m); Lourdes (415/day, 162 m); Grotte de Massabielle (86/day, 351 m)",100,agree,needs_review,26,35734,15833934
5,85.16,Voie des Capitales,,iwn,197.9,0.576,0,0,"Le Mont-Saint-Michel (2343/day, 110 m); Hôtel Saint-Pierre (2343/day, 118 m); Ramparts of Mont Saint-Michel (2343/day, 132 m)",100,agree,needs_review,1,28144,8337662
6,84.14,Via Alpina Red R160,VA-R160,iwn,19.4,0.547,32,0,,100,agree,needs_review,18,25267,2623236
7,84.1,"Via Lugdunum, Geneva to Lyon",,iwn,155.3,0.546,0,0,"Lyon (1466/day, 1866 m); Historic Site of Lyons (1463/day, 208 m); Lugdunum (204/day, 574 m)",100,agree,published,1,3772,5151350
8,84.1,Via Lugdunum,,iwn,233.7,0.546,0,0,"Lyon (1466/day, 1866 m); Historic Site of Lyons (1463/day, 208 m); Lugdunum (204/day, 302 m)",100,agree,published,1,8008,15659468
9,84.09,"Via Lugdunum, Lyon to Le Puy-en-Velay",,iwn,78.3,0.545,0,0,"Historic Site of Lyons (1463/day, 279 m); Lugdunum (204/day, 302 m); Basilica of Notre-Dame de Fourvière (93/day, 345 m)",100,agree,needs_review,1,35511,15659467
10,83.32,GR 5 France,,iwn,1613.9,0.545,0,0,"musée Marc-Chagall (1452/day, 1011 m); musée Marc-Chagall (1452/day, 1011 m); Nice (1452/day, 901 m)",97,agree,needs_review,1,8545,18308154
11,82.2,GR 2,GR 2,nwn,18.2,0.663,0,0,"Dijon (536/day, 851 m); Dijon Modern style building (534/day, 472 m); Jardin des sciences (534/day, 353 m)",96,agree,needs_review,11,33395,14073749
12,82.18,Chemin des Douaniers,GR 34,nwn,2093.3,0.634,132,7,"Vieux logis (2343/day, 194 m); Hôtel Saint-Pierre (2343/day, 118 m); Ramparts of Mont Saint-Michel (2343/day, 132 m)",100,agree,needs_review,2,27795,7790332
13,82.03,"Via Aurelia, St Maximin - Aix",,iwn,47.3,0.487,0,0,"Aix-en-Provence (592/day, 327 m); Saint Saviour's Cathedral (586/day, 445 m); Aix-en-Provence town hall (586/day, 321 m)",100,agree,needs_review,1,28100,8300047
14,81.81,Chemin des Allemands,,iwn,552.8,0.48,0,0,"Dijon (536/day, 228 m); Dijon Modern style building (534/day, 1924 m); Jardin des sciences (534/day, 1137 m)",100,agree,needs_review,1,25815,3728639
15,81.38,SLR Longarisse - Bayonne,,iwn,252.4,0.468,0,0,"Town Hall and Theatre of Bayonne (445/day, 130 m); Château-Vieux (445/day, 142 m); Basque Museum in Bayonne (370/day, 120 m)",100,agree,needs_review,1,40115,18821553
