rank,curation_rank,title,ref,network,distance_km,popularity,pageviews_day,sitelinks,anchors,quality_score,portal_agreement,status,family_members,trip_id,osm_relation
1,84.54,South West Coast Path,SWCP,nwn,1034.7,0.901,153,9,"Exercise Tiger (906/day, 75 m); Saint Mary's Church (650/day, 107 m); Public Buildings (650/day, 484 m)",96,,needs_review,53,186405,2376086
2,82.75,King Charles III England Coast Path: Birkenhead to Welsh Border,ECP,nwn,37.6,0.857,0,0,"Liverpool (2398/day, 1670 m); Royal Liver Building (189/day, 1424 m); River Mersey (183/day, 1144 m)",95,,needs_review,51,189117,18268797
3,81.33,John Muir Way (South Queensferry to Edinburgh),JMW,nwn,25.2,0.809,0,0,"Edinburgh (2960/day, 1493 m); Edinburgh (2960/day, 1336 m); Rockstar North (942/day, 1639 m)",96,,needs_review,15,190227,20115737
4,77.14,Capital Ring (Section 05),,rwn,9.0,0.875,0,0,"Wimbledon Championships (3179/day, 1018 m); Wimbledon Championships (3179/day, 1018 m); Wimbledon Championships (3179/day, 1018 m)",95,,needs_review,42,186976,6118565
5,77.1,"European walking route E9, Milford on Sea to Queen Elizabeth Country Park",E9,iwn,113.7,0.553,0,0,"Royal Victoria Hospital Museum (1638/day, 146 m); Exbury Gardens (57/day, 1439 m)",95,,needs_review,1,190160,20032019
6,76.44,Jubilee Greenway (section 1),JG,rwn,6.2,0.855,0,0,"London (Luton) (8125/day, 1171 m); London (Gatwick) (8125/day, 1171 m); London (Heathrow) (8125/day, 1171 m)",95,,needs_review,13,188195,13626344
7,76.21,The Ridgeway,RW,nwn,138.9,0.663,153,9,"Avebury Stone Circle (266/day, 1775 m); Avebury and Associated Monuments (266/day, 1921 m); Avebury Tourist Information Centre (266/day, 1901 m)",96,,needs_review,2,185688,8879
8,75.87,London to Walsingham,LW,rwn,269.0,0.839,0,0,"Millennium Bridge (8064/day, 853 m); Tower of London (1806/day, 88 m); Tower of London (1806/day, 88 m)",95,,needs_review,11,188898,17669598
9,75.72,West Highland Way,,nwn,153.2,0.649,119,16,"HMS St Christopher (1068/day, 132 m); Fort William, New Nevis Bridge (837/day, 36 m); Fort William (Glencoe) (837/day, 6 m)",96,,needs_review,1,185703,16287
10,75.23,"European walking route E9, Rye to Dover",E9,iwn,65.6,0.499,0,0,"Rye (721/day, 298 m); White Cliffs of Dover (526/day, 63 m); St. Mary's (514/day, 182 m)",95,,needs_review,1,190162,20032021
11,75.11,Green Chain Walk section 10,G-C,rwn,6.5,0.817,0,0,"The Crystal Palace (1449/day, 471 m); The Crystal Palace (1449/day, 471 m); The Crystal Palace (1449/day, 471 m)",95,,needs_review,28,188290,13983953
12,74.66,GM Ringway Stage 1,,rwn,12.0,0.833,0,0,"Manchester (2839/day, 401 m); Old Trafford (1130/day, 159 m); The Haçienda (294/day, 10 m)",91,,needs_review,21,188751,16846619
13,73.42,Green Link Walk (Section 4),,rwn,7.2,0.769,0,0,"London (Heathrow) (8125/day, 1719 m); London (Gatwick) (8125/day, 1719 m); London (Luton) (8125/day, 1719 m)",95,,needs_review,5,188814,17295021
14,73.28,"European walking route E9, Queen Elizabeth Country Park to Jevington",E9,iwn,114.5,0.444,0,0,"Long Man of Wilmington (306/day, 143 m)",95,,needs_review,1,190161,20032020
15,72.51,Thames Path,TP,nwn,312.7,0.557,44,7,"London (Gatwick) (8125/day, 672 m); London (Heathrow) (8125/day, 672 m); London (Luton) (8125/day, 672 m)",96,,needs_review,2,188386,14519665
