rank,curation_rank,title,ref,network,distance_km,popularity,pageviews_day,sitelinks,anchors,quality_score,portal_agreement,status,family_members,trip_id,osm_relation
1,81.87,"K, OKT",OKT,nwn,1177.1,0.854,63,18,"Saint Martin Church (Hollókő) (556/day, 8 m); Attila József House of Culture (199/day, 198 m); Hollókő (119/day, 27 m)",91.9,,needs_review,20,12362,3020505
2,78.52,"Mária-út, M01-21 (Budapest, Szent Anna-rét – Vár – Rákosszentmihály)",M01/21,iwn,21.8,0.593,0,0,"Budapest (3052/day, 867 m); Parliament Visitor Centre (3052/day, 895 m); Shoes on the Danube Bank (627/day, 404 m)",95,,needs_review,1,70840,2110961
3,77.34,"Camino Benedictus, Tihany-Pannonhalma-Lébény-Mosonmagyaróvár-Rajka",STJ,iwn,207.8,0.56,136,77,"Tihany & Lake Balaton (295/day, 150 m); Battle of Raab (222/day, 289 m); Arrabona (222/day, 309 m)",95,,needs_review,5,73158,9407957
4,76.84,"Mária-út, M02-27A (Esztergom – Dobogókő)",M02-27,iwn,19.5,0.545,0,0,"Chapel of Saint Thomas Becket (1461/day, 253 m); Museum of the Danube (199/day, 337 m); St Peter's and St Paul's Church (199/day, 934 m)",95,,needs_review,1,71673,4111515
5,76.15,Via Sancti Martini HW-11-02 (Kőszeg – Zsira),VSM,iwn,20.5,0.583,0,0,"Kőszeg (35/day, 1048 m); Siege of Güns (32/day, 1052 m)",86.9,,needs_review,2,15787,8385444
6,73.05,European long distance path E7 - part Hungary,E7,iwn,762.1,0.437,0,0,"M43 Tisza bridge (277/day, 411 m); Medieval church in Kővágószőlős (218/day, 1336 m)",95,,needs_review,1,65299,14321644
7,72.77,Marienweg,M05-08,iwn,11.6,0.429,0,0,"Eszterházy Palace (43/day, 1692 m); Eszterházy Palace (43/day, 1886 m); Fertőd (Esterháza Palace) (10/day, 1768 m)",95,,needs_review,1,16627,10616343
8,72.61,E4 európai hosszútávú turistaút (magyarországi szakasz),E4,iwn,1722.4,0.483,0,0,"Saint Martin Church (Hollókő) (556/day, 8 m); Attila József House of Culture (199/day, 198 m); Postal Museum, Hollókő (119/day, 11 m)",86.9,,needs_review,1,13862,5513570
9,72.51,"Mária-út, M03-18 (Cserdi – Pécs)",M03/18,iwn,26.7,0.422,0,0,"Croat Theatre of Pécs (218/day, 577 m); National Theatre of Pécs (218/day, 572 m); Pécs (218/day, 903 m)",95,,needs_review,1,72682,6797377
10,72.51,"Mária-út, M03-19 (Pécs – Máriakéménd)",M03/19,iwn,27.2,0.422,0,0,"National Theatre of Pécs (218/day, 47 m); Barbakán (218/day, 169 m); Episcopal Palace (Pécs) (218/day, 137 m)",95,,needs_review,1,72683,6797378
11,72.51,"Mária-út, M02-37 (Püspökszentlászló – Pécs)",M02/37,iwn,26.2,0.422,0,0,"Lutheran Church, Pécs (218/day, 418 m); Croat Theatre of Pécs (218/day, 209 m); Ruins of Pasha Memi's bath (218/day, 273 m)",95,,needs_review,1,72119,4760757
12,72.51,"Mária-út, M02-38 (Pécs – Máriagyűd)",M02/38,iwn,29.8,0.422,0,0,"Pécs (218/day, 637 m); Croat Theatre of Pécs (218/day, 566 m); Episcopal Palace (Pécs) (218/day, 141 m)",95,,needs_review,1,72120,4760759
13,72.31,Via Mariae M10,M10,nwn,243.2,0.639,0,0,"Chapel of Saint Thomas Becket (1461/day, 135 m); St Anne's Church of the Franciscans (199/day, 29 m); Seminary of Esztergom (199/day, 81 m)",83.8,,needs_review,1,70838,2110914
14,71.98,Via Mariae M02,M02,iwn,420.1,0.639,0,0,"Chapel of Saint Thomas Becket (1461/day, 253 m); Zsolnay Mausoleum (218/day, 1005 m); Barbakán (218/day, 152 m)",62.5,,needs_review,1,63950,4649443
15,71.97,Gyöngyök útja / Via Margaritarum,Gy,nwn,157.9,0.593,0,0,"Parliament Visitor Centre (3052/day, 711 m); Shoes on the Danube Bank (627/day, 1200 m); Saint Martin Church (Hollókő) (556/day, 8 m)",88.8,,needs_review,1,71441,3883840
