rank,curation_rank,title,ref,network,distance_km,popularity,pageviews_day,sitelinks,anchors,quality_score,portal_agreement,status,family_members,trip_id,osm_relation
1,75.15,Via Mariae M01-47 Macău-Cluj-Napoca,M01-47,iwn,32.8,0.497,0,0,"Lucian Blaga Central University Library of Cluj-Napoca (695/day, 406 m); Cluj-Napoca (695/day, 1292 m); Saint Peter (695/day, 1591 m)",95,,needs_review,1,76142,4874081
2,72.35,Via Mariae M01-48 Cluj-Napoca-Cojocna,M01-48,iwn,22.9,0.497,0,0,"Cluj-Napoca (695/day, 1791 m); Lucian Blaga Central University Library of Cluj-Napoca (695/day, 398 m); Orthodox Church of the Transfiguration (695/day, 300 m)",83.8,,needs_review,1,76143,4874658
3,71.71,Via Mariae M01-51 (Pogăceaua - Sântana de Mureș ( Tîrgu Mureș)),,iwn,28.3,0.399,0,0,"Targu Mures (153/day, 1814 m); Teleki House, Târgu Mureș (153/day, 1820 m); Statue of György Bernády, Târgu Mureș (153/day, 1818 m)",95,,needs_review,1,76092,4546709
4,71.71,Via Mariae M01-52 (Sântana de Mureș (Tîrgu Mures) - Valea),,iwn,23.7,0.399,0,0,"Small Reformed Church in Târgu Mureș (153/day, 1926 m); Old Prefecture of Târgu Mureș (153/day, 1443 m); Bolyai street Unitarian church in Târgu Mureș (153/day, 1516 m)",95,,needs_review,1,76093,4546942
5,71.71,Via Mariaet M05-45 Pogăceaua - Sântana de Mureș ( Tîrgu Mureș),,iwn,28.3,0.399,0,0,"Greek Catholic Church in Târgu Mureș (153/day, 1703 m); National Theatre of  Târgu Mureș (153/day, 1605 m); Targu Mures (153/day, 1814 m)",95,,needs_review,1,76118,4679895
6,71.71,Via Mariae M05-46 Sântana de Mureș (Tîrgu Mures) - Valea,,iwn,23.7,0.399,0,0,"Bolyai street Unitarian church in Târgu Mureș (153/day, 1516 m); National Theatre of  Târgu Mureș (153/day, 1072 m); Targu Mures (153/day, 1205 m)",95,,needs_review,1,76119,4679905
7,71.71,Via Mariae M01-52A (Târgu Mureș),M01-MsA,iwn,18.1,0.399,0,0,"Bolyai street Unitarian church in Târgu Mureș (153/day, 324 m); National Theatre of  Târgu Mureș (153/day, 324 m); Old Prefecture of Târgu Mureș (153/day, 260 m)",95,,needs_review,1,76991,12598368
8,67.89,Traseul de creasta principală a Munții Făgăraș: Valea Oltului - Șaua Podragului - Curmătura Lerescu - Cabana Plaiul Foii,,nwn,93.1,0.425,0,0,"Transfagarasan (231/day, 25 m); Transfăgărășan (218/day, 991 m)",96,,needs_review,1,75826,2069749
9,66.87,Via Carpatica Vulcanica,,iwn,5.5,0.34,0,0,"Lake Sfanta Ana (14/day, 354 m)",83.8,,needs_review,1,77249,20424555
10,65.18,Via Mariae M05 - The Central-European Pilgrimway,M05,iwn,392.9,0.27,7,0,"Targu Mures (153/day, 1205 m); Târgu-Mureş (153/day, 1727 m); Teleki House, Târgu Mureș (153/day, 1202 m)",86.9,,needs_review,1,13512,4646510
11,64.94,European long distance path E3 - part Romania,E3,iwn,674.7,0.205,18,16,"Teatrul de Stat Oradea (222/day, 70 m); Oradea (222/day, 54 m); Oradea (222/day, 178 m)",95,,needs_review,1,67492,6023218
12,62.93,Tureni - Piatra Secuiului - Cabana Râmeț - Platoul Ciumerna - Poiana cu narcise de la Negrileasa,,nwn,110.7,0.255,0,0,"Rimetea (16/day, 400 m)",100,,needs_review,1,76604,9700154
13,62.85,Bușteni - Cabana Poiana Izvoarelor - Cabana Omu,,nwn,15.5,0.317,0,0,"""Cezar Petrescu"" Memorial House (43/day, 493 m)",91,,needs_review,1,75723,1420939
14,62.0,European long distance path E8 - part Romania,E8,iwn,1253.9,0.202,4,13,"Transfagarasan (231/day, 25 m); Transfăgărășan (218/day, 991 m); Iron Gates (Danube Boilers) (188/day, 54 m)",83.8,,needs_review,1,67507,9933591
15,60.22,Drumul Maria M01-43 (Șimleu Silvaniei - Zalău),,iwn,23.9,0.071,0,0,,95,,needs_review,1,76088,4543799
