rank,curation_rank,title,ref,network,distance_km,popularity,pageviews_day,sitelinks,anchors,quality_score,portal_agreement,status,family_members,trip_id,osm_relation
1,84.6,"North Sea Trail, Sweden",NST,iwn,883.4,0.792,0,0,"Scaniabadet (887/day, 46 m); Malmö (855/day, 408 m); Helsingborg Town Hall (146/day, 327 m)",67.5,agree,needs_review,1,24190,7399828
2,79.3,Bohusleden,,nwn,345.9,0.573,2,5,,97,agree,needs_review,28,21622,280016
3,78.69,St. Olavsleden,,iwn,394.1,0.463,0,5,"Åre (146/day, 30 m); Åre (146/day, 190 m)",90,agree,needs_review,20,24317,10524322
4,75.46,"Skåneleden 4, Etapp 12: Snogeholm – Ystad",12,nwn,24.7,0.642,0,0,"Ystad Inner lighthouse (273/day, 90 m); Ystad (136/day, 40 m); Ystad (136/day, 1336 m)",96,,needs_review,14,109450,6368152
5,75.32,Ingegerdsleden Etapp 7: Alsike - Sunnersta - Uppsala,,nwn,22.2,0.645,0,0,"Uppsala (542/day, 419 m); Stadsskogen (542/day, 1402 m); Uppsala Botanical Garden (542/day, 717 m)",95,,needs_review,9,109335,5664980
6,74.99,Dalkarlsvägen etapp 4,,nwn,32.5,0.6,0,0,"Falu Kristine church parish (129/day, 62 m); Dalarna (113/day, 183 m); Mine museum (51/day, 1044 m)",100,,needs_review,15,108878,2913366
7,74.49,"Skåneleden 5, Etapp 6: Domsten-Helsingborg",6,nwn,12.1,0.614,0,0,"Helsingborg Town Hall (146/day, 327 m)",96,,needs_review,16,109135,4268956
8,73.4,16,16,nwn,6.7,0.654,0,0,"Scaniabadet (887/day, 1910 m); Malmö (855/day, 408 m); Turning Torso (95/day, 1566 m)",86,,needs_review,3,111045,15021676
9,72.92,15,15,nwn,6.6,0.641,0,0,"Scaniabadet (887/day, 1923 m); Malmö (855/day, 255 m); Turning Torso (95/day, 1571 m)",86,,needs_review,3,111046,15021794
10,72.19,"Skåneleden 7, Etapp 1: Ystad - Mossbystrand",1,nwn,12.3,0.548,0,0,"Ystad Inner lighthouse (273/day, 284 m); Ystad (136/day, 1468 m); Ystad (136/day, 241 m)",96,,needs_review,5,111854,19214266
11,71.26,"Upplandsleden, etapp 4",4,nwn,10.2,0.529,1,4,,95,,needs_review,28,111907,19395941
12,70.79,European long distance path E1 - part Sweden (north),E1,iwn,61.4,0.188,36,16,,96.9,agree,needs_review,1,24379,12884793
13,70.79,European long distance path E1 - part Sweden (center),E1,iwn,77.3,0.188,36,16,,96.9,agree,needs_review,1,24382,12885314
14,70.12,17,17,nwn,9.6,0.625,0,0,"Scaniabadet (887/day, 46 m); Malmö (855/day, 507 m); Turning Torso (95/day, 256 m)",77,,needs_review,3,111047,15022655
15,69.9,Blekingeleden,,nwn,270.6,0.49,1,5,,95,,needs_review,16,108565,297037
