rank,curation_rank,title,ref,network,distance_km,popularity,pageviews_day,sitelinks,anchors,quality_score,portal_agreement,status,family_members,trip_id,osm_relation
1,83.44,Mariánska cesta,M05-13,iwn,22.4,0.734,0,0,"Historical building of Slovak National Theatre (1412/day, 57 m); Bratislava (1412/day, 1498 m); Man at Work (1412/day, 93 m)",95,,needs_review,12,69721,4756952
2,78.26,"Mária-út, M02-19 (Staré Hory-Banská Bystrica)",M02-19,iwn,20.5,0.586,0,0,"Church of Saint James the Greater (2727/day, 76 m); Church of the St. Cross (128/day, 91 m); Museum of Slovak National Uprising (128/day, 271 m)",95,,needs_review,1,69740,4808952
3,76.84,Mariánska Cesta M02-26B,M02-26B,iwn,18.7,0.545,0,0,"Chapel of Saint Thomas Becket (1461/day, 903 m); Esztergom (199/day, 1386 m); St Anne's Church (199/day, 1468 m)",95,,needs_review,1,70084,10430260
4,73.74,Cesta svätej Alžbety,,iwn,27.3,0.457,0,0,"Church of Christ the King (374/day, 702 m); City Park (374/day, 427 m); Kunsthalle (374/day, 489 m)",95,,needs_review,1,70353,15832613
5,73.26,Svätojakubská cesta na Slovensku: Etapa Staré Hory – Banská Bystrica,,nwn,16.2,0.586,0,0,"Church of Saint James the Greater (2727/day, 76 m); St. Francis Xavier Cathedral (128/day, 84 m); Národný dom (128/day, 271 m)",95,,needs_review,1,70358,15949873
6,72.79,Tatranská magistrála,0930,nwn,50.1,0.537,13,8,"Gerlachovský štít (86/day, 1407 m); Gerlachovský štít (86/day, 1407 m); High Tatras (83/day, 1696 m)",100,,needs_review,4,68441,1208354
7,71.76,Via Slovakia (Skalica - Bratislava),,nwn,127.2,0.543,0,0,"Man at Work (1412/day, 672 m); Historical building of Slovak National Theatre (1412/day, 765 m); Office of the Government of the Slovak Republic (547/day, 1391 m)",95,,needs_review,1,18671,15519983
8,71.76,Svätojakubská cesta na Slovensku: Etapa Rajka (HU) – Bratislava,,nwn,24.1,0.543,0,0,"Man at Work (1412/day, 318 m); Historical building of Slovak National Theatre (1412/day, 256 m); Office of the Government of the Slovak Republic (547/day, 838 m)",95,,needs_review,1,70104,11078357
9,71.76,Svätojakubská cesta na Slovensku: Úsek Trnava – Bratislava,,nwn,83.3,0.543,0,0,"Historical building of Slovak National Theatre (1412/day, 313 m); Man at Work (1412/day, 305 m); Altitude (1412/day, 1634 m)",95,,needs_review,1,70105,11078359
10,71.76,Svätojakubská cesta na Slovensku: Etapa Marianka – Bratislava,,nwn,15.0,0.543,0,0,"Man at Work (1412/day, 305 m); Historical building of Slovak National Theatre (1412/day, 313 m); Altitude (1412/day, 1634 m)",95,,needs_review,1,70328,15800236
11,71.76,Svätojakubská cesta na Slovensku: Úsek Bratislava – Wolfsthal (AT),,nwn,7.0,0.543,0,0,"Man at Work (1412/day, 100 m); Historical building of Slovak National Theatre (1412/day, 198 m); Office of the Government of the Slovak Republic (547/day, 838 m)",95,,needs_review,1,16784,11078358
12,71.76,Svätojakubská cesta na Slovensku: Etapa Bratislava – Wolfsthal (AT),,nwn,7.0,0.543,0,0,"Historical building of Slovak National Theatre (1412/day, 198 m); Man at Work (1412/day, 100 m); Office of the Government of the Slovak Republic (547/day, 838 m)",95,,needs_review,1,19076,15950190
13,71.76,Svätojakubská cesta na Slovensku: Úsek Rajka (HU) – Bratislava,,nwn,7.0,0.543,0,0,"Historical building of Slovak National Theatre (1412/day, 198 m); Man at Work (1412/day, 100 m); Office of the Government of the Slovak Republic (547/day, 838 m)",95,,needs_review,1,19077,15950191
14,71.3,"Mária-út, M02-20 (Banská Bystrica-Zvolen)",M02-20,iwn,27.0,0.387,0,0,"Church of the St. Cross (128/day, 1928 m); Banská Bystrica Castle (128/day, 1870 m); Central Slovakian Gallery (128/day, 1590 m)",95,,needs_review,1,69738,4808555
15,70.46,Svätojakubská cesta na Slovensku: Úsek Levoča – Banská Bystrica,,nwn,205.9,0.586,0,0,"Church of Saint James the Greater (2727/day, 76 m); Church of the St. Cross (128/day, 203 m); Central Slovakian Gallery (128/day, 184 m)",83.8,,needs_review,1,70108,11078362
