rank,curation_rank,title,ref,network,distance_km,popularity,pageviews_day,sitelinks,anchors,quality_score,portal_agreement,status,family_members,trip_id,osm_relation
1,61.45,Східно-Карпатський туристичний шлях,,nwn,278.4,0.242,2,2,,96,,needs_review,1,75996,3075772
2,61.45,Закарпатський туристичний шлях,,nwn,393.5,0.242,2,2,,96,,needs_review,1,69414,2970399
3,59.14,Blue trail,,nwn,7.8,0.183,0,0,,95,,needs_review,1,175577,4581755
4,55.22,Стежка здоров'я,,nwn,10.5,0.071,0,0,,95,,needs_review,1,175569,3406798
5,55.22,Екостежка,,nwn,7.1,0.071,0,0,,95,,needs_review,1,175576,3994306
6,52.7,Карпатський туристичний шлях,,rwn,19.3,0.141,0,0,,100,,needs_review,3,175560,3049510
7,52.24,WG1,WG1,rwn,34.0,0.164,0,0,,95,,needs_review,1,175552,3039148
8,51.45,Green trail,,rwn,17.0,0.141,0,0,,95,,needs_review,1,175578,4581756
9,50.22,На Ґорґан Ілемський,,rwn,11.6,0.071,0,0,,100,,needs_review,1,175600,6291519
10,49.66,6,6,lwn,5.7,0.269,0,0,,95,,needs_review,1,175499,2992875
11,49.22,№ 503-1 Старий Самбір – Східниця,503,rwn,57.0,0.071,0,0,,96,,needs_review,1,175864,18181716
12,49.22,Прис. Рівня - г. Смерічок - г. Петраш - Микуличин,,rwn,15.0,0.071,0,0,,96,,needs_review,1,175725,10993287
13,49.22,Шлях Плотені,,rwn,16.3,0.071,0,0,,96,,needs_review,1,175743,11294644
14,49.22,"Пішохідний маршрут ""Метро Карпат""",2117,rwn,5.6,0.071,0,0,,96,,needs_review,1,175765,12164159
15,48.97,Люта - Лютянська Голиця - Лумшори (зелений маршрут),,rwn,21.9,0.071,0,0,,95,,needs_review,1,175617,6988454
