impact,id,city,country,class,modelled_score,confidence,fame_pctl,country_coverage,country_rank,queued
6.142,gem:koln,Köln,Germany,metro,9.0,modelled,0.982,0.305,1,2026-09-03
5.619,gem:augsburg,Augsburg,Germany,metro,8.9,modelled,0.908,0.305,2,2026-09-03
5.279,gem:bruhl,Brühl,Germany,town,7.8,modelled,0.974,0.305,25,2026-09-03
5.243,gem:mannheim,Mannheim,Germany,metro,8.3,modelled,0.909,0.305,9,2026-09-03
5.069,gem:bonn,Bonn,Germany,metro,7.7,modelled,0.947,0.305,37,2026-09-03
4.905,gem:darmstadt,Darmstadt,Germany,city,8.4,modelled,0.84,0.305,4,2026-09-03
4.804,gem:de-reit,De Reit,Netherlands,village,6.6,modelled,1.0,0.272,59,2026-09-03
4.765,gem:koblenz,Koblenz,Germany,city,7.9,modelled,0.868,0.305,20,2026-09-03
4.72,gem:karlsruhe,Karlsruhe,Germany,city,7.6,modelled,0.893,0.305,43,2026-09-03
4.649,gem:breda,Breda,Netherlands,city,7.6,modelled,0.84,0.272,8,2026-09-03
4.638,gem:ceuta,Ceuta,Spain,city,8.4,modelled,0.992,0.443,9,2026-09-03
4.623,gem:bochum,Bochum,Germany,metro,8.5,modelled,0.782,0.305,3,2026-09-03
4.61,gem:worms,Worms,Germany,city,7.7,modelled,0.861,0.305,37,2026-09-03
4.55,gem:speyer,Speyer,Germany,city,8.4,modelled,0.779,0.305,4,2026-09-03
4.543,gem:bayreuth,Bayreuth,Germany,city,8.4,modelled,0.778,0.305,4,2026-09-03
4.532,gem:versailles,Versailles,France,city,8.4,modelled,0.981,0.45,5,2026-09-03
4.472,gem:essen,Essen,Germany,metro,7.2,modelled,0.893,0.305,60,2026-09-03
4.443,gem:arnhem,Arnhem,Netherlands,city,7.3,modelled,0.836,0.272,15,2026-09-03
4.42,gem:melilla,Melilla,Spain,city,8.3,modelled,0.957,0.443,15,2026-09-03
4.351,gem:jena,Jena,Germany,city,7.7,modelled,0.813,0.305,37,2026-09-03
4.327,gem:bremerhaven,Bremerhaven,Germany,city,8.0,modelled,0.778,0.305,14,2026-09-03
4.301,gem:kassel,Kassel,Germany,city,7.4,modelled,0.836,0.305,49,2026-09-03
4.3,gem:halle-saale,Halle (Saale),Germany,city,7.7,modelled,0.803,0.305,37,2026-09-03
4.287,gem:wiesbaden,Wiesbaden,Germany,city,7.1,modelled,0.869,0.305,70,2026-09-03
4.267,gem:sunderland,Sunderland,United Kingdom,city,7.8,modelled,0.939,0.417,12,2026-09-03
4.227,gem:hildesheim,Hildesheim,Germany,city,8.4,modelled,0.724,0.305,4,2026-09-03
4.226,gem:gelsenkirchen,Gelsenkirchen,Germany,city,6.9,modelled,0.881,0.305,85,2026-09-03
4.218,gem:woodstock,Woodstock,United Kingdom,village,7.4,modelled,0.979,0.417,40,2026-09-03
4.18,gem:zwolle,Zwolle,Netherlands,city,7.5,modelled,0.766,0.272,10,2026-09-03
4.172,gem:helsingborg,Helsingborg,Sweden,city,7.7,modelled,0.774,0.3,3,2026-09-03
4.125,gem:gottingen,Göttingen,Germany,city,7.3,modelled,0.813,0.305,53,2026-09-03
4.081,gem:nottingham,Nottingham,United Kingdom,metro,7.4,modelled,0.947,0.417,40,2026-09-03
4.074,gem:kingston-upon-thames,Kingston upon Thames,United Kingdom,town,7.7,modelled,0.908,0.417,20,2026-09-03
4.071,gem:bromley,Bromley,United Kingdom,area,8.0,modelled,0.874,0.417,6,2026-09-03
4.066,gem:willemstad,Willemstad,Netherlands,village,6.1,modelled,0.916,0.272,91,2026-09-03
3.999,gem:eisenach,Eisenach,Germany,town,7.8,modelled,0.738,0.305,25,2026-09-03
3.988,gem:hilversum,Hilversum,Netherlands,city,7.9,modelled,0.693,0.272,3,2026-09-03
3.984,gem:wuppertal,Wuppertal,Germany,metro,7.1,modelled,0.807,0.305,70,2026-09-03
3.943,gem:guildford,Guildford,United Kingdom,city,7.7,modelled,0.879,0.417,20,2026-09-03
3.939,gem:wittenberg,Wittenberg,Germany,town,7.2,modelled,0.787,0.305,60,2026-09-03
3.93,gem:saarbrucken,Saarbrücken,Germany,city,6.6,modelled,0.857,0.305,117,2026-09-03
3.888,gem:le-havre,Le Havre,France,city,7.9,modelled,0.895,0.45,21,2026-09-03
3.875,gem:chelmsford,Chelmsford,United Kingdom,city,7.7,modelled,0.864,0.417,20,2026-09-03
3.875,gem:dortmund,Dortmund,Germany,metro,6.1,modelled,0.914,0.305,171,2026-09-03
3.853,gem:chemnitz,Chemnitz,Germany,city,6.5,modelled,0.853,0.305,125,2026-09-03
3.849,gem:wolverhampton,Wolverhampton,United Kingdom,city,7.1,modelled,0.931,0.417,62,2026-09-03
3.836,gem:amersfoort,Amersfoort,Netherlands,city,7.6,modelled,0.693,0.272,8,2026-09-03
3.833,gem:roses,Roses,Spain,town,7.2,modelled,0.956,0.443,112,2026-09-03
3.819,gem:high-wycombe,High Wycombe,United Kingdom,city,7.7,modelled,0.851,0.417,20,2026-09-03
3.802,gem:umea,Umeå,Sweden,city,6.9,modelled,0.787,0.3,12,2026-09-03
3.789,gem:leicester,Leicester,United Kingdom,metro,6.9,modelled,0.943,0.417,87,2026-09-03
