country,nuts3,region_name,layer,published,quota,deficit,candidate_id,candidate_name,rejected_by,rejected_detail
IS,IS002,Landsbyggð,lake,,15,11,wd:Q886946,Blue Lagoon,floor_pool,score_5.3_below_5.4
IS,IS002,Landsbyggð,lake,,15,11,wd:Q335940,Þórisvatn,photo_gate,imgs_5
IS,IS002,Landsbyggð,lake,,15,11,wd:Q1429607,Hvítárvatn,floor_pool,score_5.2_below_5.4
IS,IS002,Landsbyggð,lake,,15,11,wd:Q335432,Þingvallavatn,floor_pool,score_5.0_below_5.4
IS,IS002,Landsbyggð,lake,,15,11,wd:Q1344692,Lagarfljót,floor_pool,score_5.0_below_5.4
IS,IS002,Landsbyggð,lake,,15,11,wd:Q283536,Langisjór,floor_pool,score_4.9_below_5.4
IS,IS002,Landsbyggð,lake,,15,11,wd:Q2536202,Víti Askja,floor_pool,score_4.9_below_5.4
IS,IS002,Landsbyggð,lake,,15,11,wd:Q1416444,Skorradalsvatn,floor_pool,score_4.8_below_5.4
IS,IS002,Landsbyggð,lake,,15,11,wd:Q943482,Grænalón,photo_gate,imgs_2
IS,IS002,Landsbyggð,lake,,15,11,wd:Q1121686,Kvíslavatn,floor_pool,score_4.8_below_5.4
IS,IS002,Landsbyggð,lake,,15,11,wd:Q511933,Jökulsárlón,floor_pool,score_4.7_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q1871373,Lough Derg,floor_pool,score_5.3_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q4244931,Lough Talt,floor_pool,score_5.2_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q23014379,Kindrum Lough,floor_pool,score_4.9_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q24196710,Durnesh Lough,floor_pool,score_4.7_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q3356599,Lough Ramor,floor_pool,score_4.6_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q3260241,Lough Eske,floor_pool,score_4.6_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q3380869,Lough Sillan,floor_pool,score_4.6_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q6686123,Lough Gara,floor_pool,score_4.6_below_5.4
IE,IE041,Border,lake,,10,9,wd:Q24196623,Lough Barra,floor_pool,score_4.5_below_5.4
FO,FO-FRO,Faroe Islands,lake,,7,7,wd:Q476699,Fjallavatn,photo_gate,imgs_1
FO,FO-FRO,Faroe Islands,lake,,7,7,wd:Q29100483,Kvíandalsvatn,photo_gate,imgs_5
FO,FO-FRO,Faroe Islands,lake,,7,7,wd:Q29100373,Lomundaroyri,photo_gate,imgs_5
AL,AL011,Dibër,lake,,6,6,wd:Q22005345,Liqeni i Lopeve,photo_gate,imgs_3
AL,AL011,Dibër,lake,,6,6,wd:Q22007899,Liqeni i Hotit,photo_gate,imgs_1
AL,AL011,Dibër,lake,,6,6,wd:Q22005350,Liqeni i Luleve,photo_gate,imgs_0
AL,AL011,Dibër,lake,,6,6,wd:Q7358625,Sope Lake,floor_pool,score_4.8_below_5.4
AL,AL011,Dibër,lake,,6,6,wd:Q22005363,Liqeni i Madh,floor_pool,score_4.8_below_5.4
