id,city,country,iso2,class,lat,lon,score,tier,tier_label,hidden_gem,fame_pageviews,appeal,beauty_comp,highlights,acclaim,curated_appeal,beauty_score,unesco_count,designations,population,settlement,visit_hours,depth,n_pois,categories,meal_mid_eur,meal_cheap_eur,coffee_eur,beer_eur,grocery_day_eur,airbnb_pp_night_eur,dorm_pp_night_eur,hotel_night_eur,car_needed,transit_quality,rental_eur_day,crowding,best_months,bathing_water,nearest_nature,has_guide,image_url,iata
FCO,Rome (Fiumicino),Italy,IT,metro,41.8003,12.2389,9.5,3,Worth the journey,False,4029,1,0.73,0.909,1,yes,7.3,5,capital_of_culture; unesco_whc,2318895,city,16.8,0.723,8,city; unesco; roman; historic; art; iconic,35,17,1.76,5,13,32.5,31.05,102,False,excellent,52,Crowded,4-5,,Riserva Naturale di Monte Mario,True,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Trevi_Fountain%2C_Rome%2C_Italy_2_-_May_2007.jpg/960px-Trevi_Fountain%2C_Rome%2C_Italy_2_-_May_2007.jpg,FCO
CIA,Rome (Ciampino),Italy,IT,metro,41.7994,12.5949,9.5,3,Worth the journey,False,4029,1,0.73,0.909,1,yes,7.3,5,,2318895,city,16.8,0.723,8,city; unesco; roman; historic; art; iconic,35,17,1.76,5,13,32.5,31.05,102,False,excellent,52,Crowded,4-5,,Riserva Naturale di Monte Mario,False,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Trevi_Fountain%2C_Rome%2C_Italy_2_-_May_2007.jpg/960px-Trevi_Fountain%2C_Rome%2C_Italy_2_-_May_2007.jpg,CIA
VCE,Venice (Marco Polo),Italy,IT,city,45.5053,12.3519,9.4,3,Worth the journey,False,3014,0.97,0.74,0.909,1,yes,7.4,4,unesco_whc,51298,city,9.6,0.72,8,city; unesco; iconic; romantic; historic,49,23.8,2.46,7,14.95,54,,,False,excellent,52,Crowded,5-6-7,Excellent,Oasi delle Cave WWF,True,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/San_Marco%2C_30100_Venice%2C_Italy_-_panoramio_%28547%29.jpg/960px-San_Marco%2C_30100_Venice%2C_Italy_-_panoramio_%28547%29.jpg,VCE
TSF,Venice (Treviso),Italy,IT,city,45.6484,12.1944,9.4,3,Worth the journey,False,3014,0.97,0.74,0.909,1,yes,7.4,4,,51298,city,9.6,0.72,8,city; unesco; iconic; romantic; historic,49,23.8,2.46,7,14.95,54,,,False,excellent,52,Crowded,5-6-7,Excellent,Oasi delle Cave WWF,False,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/San_Marco%2C_30100_Venice%2C_Italy_-_panoramio_%28547%29.jpg/960px-San_Marco%2C_30100_Venice%2C_Italy_-_panoramio_%28547%29.jpg,TSF
CDG,Paris (CDG),France,FR,metro,49.0097,2.5479,9.4,3,Worth the journey,False,4938,1,0.62,0.909,1,yes,6.2,3,unesco_whc,2138551,city,16.8,0.723,8,city; art; iconic; romantic; food,30,15,3.45,6.02,12.65,40,42.43,128,False,excellent,47,Crowded,5-6-7-8-9,Poor,Île de l'Abreuvoir,True,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/960px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg,CDG
ORY,Paris (Orly),France,FR,metro,48.7233,2.3794,9.4,3,Worth the journey,False,4938,1,0.62,0.909,1,yes,6.2,3,,2138551,city,16.8,0.723,8,city; art; iconic; romantic; food,30,15,3.45,6.02,12.65,40,42.43,128,False,excellent,47,Crowded,5-6-7-8-9,Poor,Île de l'Abreuvoir,True,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/960px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg,ORY
BVA,Paris (Beauvais),France,FR,metro,49.4544,2.1128,9.4,3,Worth the journey,False,4938,1,0.62,0.909,1,yes,6.2,3,,2138551,city,16.8,0.723,8,city; art; iconic; romantic,30,15,3.45,6.02,12.65,40,42.43,128,False,excellent,47,Crowded,5-6-7-8-9,Poor,Île de l'Abreuvoir,True,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/960px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg,BVA
gem:amalfi-coast,Amalfi Coast,Italy,IT,area,40.634,14.6027,9.4,3,Worth the journey,False,1028,0.955,0.83,0.909,1,yes,8.3,4,unesco_whc; beautiful_village,4933,village,7,0.689,8,coast; unesco; iconic,49,23.8,2.46,7,14.95,45.31,,,True,limited,52,Busy,5-6-7-8,Excellent,Parco Nazionale del Vesuvio,True,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Amalfi_Coast_%28Italy%2C_October_2020%29_-_75_%2850558355441%29.jpg/960px-Amalfi_Coast_%28Italy%2C_October_2020%29_-_75_%2850558355441%29.jpg,
gem:como,Lake Como,Italy,IT,area,45.9999,9.258,9.4,3,Worth the journey,False,987,0.931,0.98,0.909,0.95,yes,9.8,6,beautiful_village,2823,village,7.2,0.723,8,lake; alps; iconic,43.75,21.25,2.2,6.25,14.3,39.06,,,True,poor,52,Crowded,5-6-7-8-9,Excellent,Riserva Naturale Lago di Piano,True,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Sentiero_del_Viandante_DSC_6340_%2814020554463%29.jpg/960px-Sentiero_del_Viandante_DSC_6340_%2814020554463%29.jpg,
BCN,Barcelona,Spain,ES,metro,41.2974,2.0833,9.3,3,Worth the journey,False,3210,0.95,0.82,0.909,1,yes,8.2,2,capital_of_culture; unesco_whc,1686208,city,16.8,0.723,8,city; coast; beach; art; unesco; nightlife,30,16,2.69,4,11.62,51,34.15,102,False,excellent,30,Crowded,4-5-6-9,Excellent,Parc Natural de Collserola,True,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Aerial_view_of_Barcelona%2C_Spain_%2851227309370%29_edited.jpg/960px-Aerial_view_of_Barcelona%2C_Spain_%2851227309370%29_edited.jpg,BCN
