register,kind,name,qid,lat,lon,sitelinks,population,has_image,status,matched,auto_admit,beauty_est,queued
unesco_creative_cities,capital_of_culture,Istanbul,Q406,41.01,28.96028,290,15655924,yes,missing,,yes,5.6,2026-09-03
unesco_whc,unesco_whc,Rabat,Q3551,34.02111,-6.84139,188,515619,yes,missing,,yes,7.6,2026-09-03
unesco_creative_cities,capital_of_culture,Tunis,Q3572,36.80083,10.18,182,602560,yes,missing,,yes,6.7,2026-09-03
unesco_creative_cities,capital_of_culture,Odesa,Q1874,46.47747,30.73262,178,1010537,yes,missing,,yes,5.6,2026-09-03
unesco_creative_cities,capital_of_culture,Lviv,Q36036,49.84195,24.03159,177,717273,yes,missing,,yes,5.6,2026-09-03
unesco_whc,unesco_whc,Troy,Q22647,39.9575,26.23889,121,,yes,missing,,yes,7.6,2026-09-03
unesco_creative_cities,capital_of_culture,Gaziantep,Q93338,37.06278,37.37917,120,1680723,yes,missing,,yes,3.1,2026-09-03
unesco_tentative,unesco_tentative,Konya,Q79857,37.84705,32.5161,115,2232374,yes,missing,,yes,3.7,2026-09-03
fr_petites_cites,heritage_town,Finistère,Q3389,48.25,-4.0,108,933455,yes,missing,,yes,3.8,2026-09-03
unesco_whc,unesco_whc,Palmyra,Q5747,34.56,38.26722,107,,yes,missing,,yes,7.6,2026-09-03
fr_petites_cites,heritage_town,Morbihan,Q12642,47.83333,-2.83333,105,783390,yes,missing,,yes,4.7,2026-09-03
fr_petites_cites,heritage_town,Côtes-d'Armor,Q3349,48.33333,-2.83333,102,611859,yes,missing,,yes,3.8,2026-09-03
fr_petites_cites,heritage_town,Rhône,Q46130,45.9955,4.71957,99,451317,yes,missing,,yes,4.7,2026-09-03
unesco_tentative,unesco_tentative,Tripoli,Q168954,34.43667,35.83444,93,227857,yes,missing,,yes,6.1,2026-09-03
unesco_whc,unesco_whc,Samarra,Q170047,34.1959,43.88568,92,140400,yes,missing,,yes,6.6,2026-09-03
unesco_creative_cities,capital_of_culture,Hatay Province,Q83274,36.2,36.15,92,1501571,yes,missing,,yes,3.1,2026-09-03
unesco_creative_cities,capital_of_culture,Terrassa,Q13939,41.56111,2.00806,92,233270,yes,missing,,yes,5.6,2026-09-03
unesco_creative_cities,capital_of_culture,Bradford,Q22905,53.794,-1.751,91,293277,yes,missing,,yes,6.0,2026-09-03
unesco_tentative,unesco_tentative,Alanya,Q171810,36.54361,31.99972,87,364180,yes,missing,,yes,2.9,2026-09-03
unesco_tentative,unesco_tentative,Tétouan,Q185157,35.5698,-5.37469,87,422757,yes,missing,,yes,5.4,2026-09-03
unesco_creative_cities,capital_of_culture,Tétouan,Q185157,35.5698,-5.37469,87,422757,yes,missing,,yes,5.6,2026-09-03
unesco_whc,unesco_whc,Baalbek,Q178835,34.01536,36.20056,86,81052,yes,missing,,yes,8.3,2026-09-03
unesco_tentative,unesco_tentative,Nineveh,Q5680,36.36667,43.15,86,,yes,missing,,yes,2.9,2026-09-03
unesco_creative_cities,capital_of_culture,Kütahya,Q188894,39.42417,29.98333,86,266784,yes,missing,,yes,3.1,2026-09-03
unesco_whc,unesco_whc,Byblos,Q173532,34.1195,35.64685,83,,yes,missing,,yes,8.3,2026-09-03
unesco_tentative,unesco_tentative,Raqqa,Q283368,35.95,39.01,83,299824,yes,missing,,yes,2.9,2026-09-03
unesco_creative_cities,capital_of_culture,Afyonkarahisar,Q166824,38.75806,30.53861,83,299673,yes,missing,,yes,3.1,2026-09-03
unesco_tentative,unesco_tentative,Lofoten,Q186822,68.33306,14.66639,82,,yes,missing,,yes,2.9,2026-09-03
unesco_whc,unesco_whc,Kairouan,Q179570,35.68333,10.1,81,186653,yes,missing,,yes,7.6,2026-09-03
unesco_whc,unesco_whc,Assur,Q200200,35.45667,43.2625,79,,yes,missing,,yes,7.6,2026-09-03
unesco_whc,unesco_whc,Göbekli Tepe,Q214944,37.22306,38.9225,78,,yes,missing,,yes,7.6,2026-09-03
unesco_tentative,unesco_tentative,Mardin,Q188022,37.31306,40.735,78,129864,yes,missing,,yes,2.9,2026-09-03
it_borghi_piu_belli,beautiful_village,Tempio Pausania,Q13645,40.90148,9.10436,75,13196,yes,missing,,yes,4.9,2026-09-03
it_borghi_piu_belli,beautiful_village,Giglio,Q204152,42.355,10.905,75,1330,yes,missing,,yes,4.9,2026-09-03
unesco_creative_cities,capital_of_culture,Kırşehir,Q208005,39.145,34.16083,72,150700,yes,missing,,yes,3.1,2026-09-03
unesco_tentative,unesco_tentative,Tartus,Q174916,34.88333,35.88333,71,,yes,missing,,yes,4.4,2026-09-03
unesco_whc,unesco_whc,Çatalhöyük,Q192522,37.6675,32.82833,70,,yes,missing,,yes,7.6,2026-09-03
eu_great_spa_towns,spa_town,Baden,Q486450,48.0075,16.23444,68,26286,yes,missing,,yes,7.6,2026-09-03
unesco_whc,unesco_whc,Selimiye Mosque,Q184534,41.67806,26.55944,67,,yes,missing,,yes,7.6,2026-09-03
it_borghi_piu_belli,beautiful_village,Posada,Q10710,40.63128,9.71981,66,3019,yes,missing,,yes,4.9,2026-09-03
fr_plus_beaux_detours,heritage_town,Toul,Q154728,48.67611,5.89444,65,15768,yes,missing,,yes,5.4,2026-09-03
fr_plus_beaux_detours,heritage_town,Argentan,Q207622,48.74444,-0.02028,65,13527,yes,missing,,yes,3.8,2026-09-03
fr_plus_beaux_detours,heritage_town,Limoux,Q192744,43.05694,2.21861,64,10532,yes,missing,,yes,5.9,2026-09-03
fr_petites_cites,heritage_town,Roscoff,Q245297,48.72667,-3.98583,64,3334,yes,missing,,yes,3.8,2026-09-03
unesco_whc,unesco_whc,Struve Geodetic Arc,Q192243,52.28944,25.64944,64,,yes,missing,,yes,6.6,2026-09-03
