city,country,reason,sitelinks,population,qid
Gibraltar,Gibraltar,same place as La Línea de la Concepción (3.1 km),222,34003,Q1410
Grenoble,France,same place as Saint-Martin-le-Vinoux (1.9 km),144,156140,Q1289
Klagenfurt am Wörthersee,Austria,same place as Klagenfurt (1.7 km),116,101403,Q41753
St. Pölten,Austria,same place as Sankt Pölten (1.7 km),101,55514,Q82500
Arras,France,same place as Achicourt (2.3 km),100,42875,Q131329
Ludwigshafen,Germany,same place as Mannheim (2.5 km),99,176110,Q2910
Villeneuve-d'Ascq,France,"satellite of Lille (6.1 km, pop 62,868 vs 238,695)",98,62868,Q43295
Fürth,Germany,"satellite of Nuremberg (6.8 km, pop 132,036 vs 515,543)",98,132036,Q3075
Tilburg,Netherlands,same place as De Reit (2.9 km),97,227707,Q26430
Mülheim an der Ruhr,Germany,"satellite of Essen (9.6 km, pop 173,255 vs 593,085)",93,173255,Q2899
Bradford,United Kingdom,duplicate of an earlier row,91,293277,Q22905
L'Hospitalet de Llobregat,Spain,"satellite of Barcelona (7.5 km, pop 289,510 vs 1,686,208)",90,289510,Q15470
Bottrop,Germany,"satellite of Essen (9.6 km, pop 118,705 vs 593,085)",88,118705,Q3069
Massa,Italy,same place as Marina di Massa (3.9 km),87,66160,Q13370
Stoke-on-Trent,United Kingdom,"same place as Basford, Stoke-on-Trent (2.7 km)",87,245000,Q134902
Sesto San Giovanni,Italy,"satellite of Milan (Malpensa) (8.1 km, pop 78,884 vs 1,371,498)",85,78884,Q43005
Giugliano in Campania,Italy,"satellite of Naples (9.3 km, pop 123,679 vs 909,048)",82,123679,Q72125
Hoorn,Netherlands,same place as Zwaagdijk-West (2.7 km),81,73619,Q9938
Nanterre,France,"satellite of Paris (CDG) (11.4 km, pop 97,783 vs 2,138,551)",81,97783,Q170507
Kiruna,Sweden,same place as Kiruna / Abisko (3.3 km),80,17284,Q83232
Bourg-la-Reine,France,"satellite of Paris (CDG) (9.3 km, pop 21,019 vs 2,138,551)",78,21019,Q249852
Cinisello Balsamo,Italy,"satellite of Milan (Malpensa) (9.4 km, pop 74,528 vs 1,371,498)",78,74528,Q43007
Amstelveen,Netherlands,"satellite of Amsterdam (8.2 km, pop 94,435 vs 741,636)",77,94435,Q9898
Cagnes-sur-Mer,France,"satellite of Nice (10.4 km, pop 53,354 vs 342,669)",76,53354,Q193832
Campione d'Italia,Italy,same place as Lugano (4.0 km),76,1752,Q244207
Albano Laziale,Italy,same place as Castel Gandolfo (2.2 km),73,39718,Q191115
Rueil-Malmaison,France,"satellite of Paris (CDG) (12.2 km, pop 82,874 vs 2,138,551)",73,82874,Q193920
Fiesole,Italy,"satellite of Florence (4.9 km, pop 13,659 vs 367,150)",72,13659,Q82670
Casoria,Italy,"satellite of Naples (5.6 km, pop 74,021 vs 909,048)",72,74021,Q72009
Scandicci,Italy,"satellite of Florence (5.5 km, pop 49,390 vs 367,150)",71,49390,Q82842
Irun,Spain,same place as Hondarribia (3.3 km),71,63835,Q200201
Jesolo,Italy,same place as Lido di Jesolo (2.9 km),71,26558,Q47281
Afragola,Italy,"satellite of Naples (7.9 km, pop 61,712 vs 909,048)",71,61712,Q71610
Villarreal,Spain,"satellite of Castelló de la Plana (6.9 km, pop 53,623 vs 171,857)",71,53623,Q12292
Saint-Cloud,France,"satellite of Paris (CDG) (10.1 km, pop 29,855 vs 2,138,551)",71,29855,Q189153
Bitonto,Italy,"satellite of Bari (15.0 km, pop 53,168 vs 316,491)",71,53168,Q19278
Sèvres,France,"satellite of Paris (CDG) (11.0 km, pop 22,303 vs 2,138,551)",70,22303,Q206493
Monreale,Italy,"satellite of Palermo (6.8 km, pop 38,698 vs 648,260)",70,38698,Q207448
Zaanstad,Netherlands,same place as Zaanse Schans (2.9 km),70,156901,Q9978
Marino,Italy,same place as Castel Gandolfo (2.4 km),69,46347,Q242926
Prilep,North Macedonia,same place as Markov Grad (2.2 km),69,63308,Q157032
Alcobendas,Spain,"satellite of Madrid (14.2 km, pop 123,342 vs 3,255,944)",69,123342,Q487679
Anderlecht,Belgium,same place as Brussels (1.8 km),68,120887,Q12886
Vincennes,France,"satellite of Paris (CDG) (6.5 km, pop 48,193 vs 2,138,551)",68,48193,Q193819
Torremolinos,Spain,"satellite of Malaga (12.8 km, pop 71,329 vs 592,346)",68,71329,Q492737
Portici,Italy,"satellite of Naples (8.0 km, pop 52,054 vs 909,048)",67,52054,Q72414
Schiedam,Netherlands,"satellite of Rotterdam (5.4 km, pop 79,279 vs 868,135)",67,79279,Q204709
Campi Bisenzio,Italy,"satellite of Florence (11.5 km, pop 47,462 vs 367,150)",67,47462,Q82636
Montrouge,France,"satellite of Paris (CDG) (5.1 km, pop 46,324 vs 2,138,551)",66,46324,Q241021
Dorgali,Italy,same place as Cala Gonone (Golfo di Orosei) (3.9 km),66,8333,Q294782
Aulnay-sous-Bois,France,"satellite of Paris (CDG) (13.5 km, pop 87,599 vs 2,138,551)",66,87599,Q192773
Issy-les-Moulineaux,France,"satellite of Paris (CDG) (7.2 km, pop 67,669 vs 2,138,551)",65,67669,Q135265
Marano di Napoli,Italy,"satellite of Naples (7.4 km, pop 57,777 vs 909,048)",65,57777,Q72221
Ciampino,Italy,"satellite of Rome (Fiumicino) (14.1 km, pop 38,595 vs 2,318,895)",65,38595,Q242513
Barakaldo,Spain,"satellite of Bilbao (6.0 km, pop 102,986 vs 347,342)",65,102986,Q487801
Mérignac,France,"satellite of Bordeaux (5.2 km, pop 78,090 vs 265,328)",64,78090,Q205551
Garðabær,Iceland,no longer a municipality (city),64,20116,Q186142
Vitry-sur-Seine,France,"satellite of Paris (CDG) (8.4 km, pop 93,963 vs 2,138,551)",64,93963,Q72248
Vernon,France,same place as Giverny (3.7 km),64,25290,Q236736
Bar,Montenegro,same place as Stari Bar (2.7 km),64,13719,Q115276
Abano Terme,Italy,"satellite of Padua (8.1 km, pop 20,231 vs 203,725)",64,20231,Q34603
Cologno Monzese,Italy,"satellite of Milan (Malpensa) (9.7 km, pop 46,707 vs 1,371,498)",64,46707,Q42906
Ariccia,Italy,same place as Castel Gandolfo (3.8 km),63,17987,Q241744
Roquebrune-Cap-Martin,France,same place as Menton (2.9 km),63,12037,Q220668
Anglet,France,same place as Biarritz (2.9 km),63,43271,Q191765
L'Haÿ-les-Roses,France,"satellite of Paris (CDG) (8.8 km, pop 31,188 vs 2,138,551)",63,31188,Q128643
Modolo,Italy,same place as Bosa (3.7 km),63,170,Q386395
Fontenay-aux-Roses,France,"satellite of Paris (CDG) (9.1 km, pop 24,070 vs 2,138,551)",63,24070,Q269166
Selargius,Italy,"satellite of Cagliari (5.4 km, pop 28,447 vs 149,257)",63,28447,Q145856
Ferney-Voltaire,France,"satellite of Geneva (6.6 km, pop 12,094 vs 201,741)",63,12094,Q233733
Lörrach,Germany,"satellite of Basel (8.6 km, pop 50,670 vs 177,595)",63,50670,Q6855
Hendaye,France,same place as Hondarribia (1.9 km),62,18102,Q191754
Cervia,Italy,same place as Milano Marittima (2.9 km),62,28983,Q52975
Villejuif,France,"satellite of Paris (CDG) (7.2 km, pop 60,183 vs 2,138,551)",62,60183,Q128466
Pessac,France,"satellite of Bordeaux (5.6 km, pop 67,339 vs 265,328)",62,67339,Q207156
Tuili,Italy,same place as Su Nuraxi (Barumini) (2.8 km),62,929,Q278730
Las Plassas,Italy,same place as Su Nuraxi (Barumini) (2.9 km),62,210,Q287794
Slough,United Kingdom,same place as Windsor (3.6 km),62,119070,Q211907
Weil am Rhein,Germany,"satellite of Basel (4.7 km, pop 31,065 vs 177,595)",62,31065,Q61909
Venaria Reale,Italy,"satellite of Turin (6.6 km, pop 32,288 vs 847,287)",62,32288,Q10339
Elefsina,Greece,duplicate of an earlier row,62,24971,Q204905
Rozzano,Italy,"satellite of Milan (Malpensa) (9.8 km, pop 41,240 vs 1,371,498)",62,41240,Q42794
Scafati,Italy,same place as Pompeii (3.3 km),61,48045,Q42446
Malakoff,France,"satellite of Paris (CDG) (6.0 km, pop 30,557 vs 2,138,551)",61,30557,Q253721
Vence,France,same place as Saint-Paul-de-Vence (2.8 km),61,19917,Q192368
Schaerbeek,Belgium,same place as Brussels (2.7 km),61,132799,Q12887
