keep,city,country,sitelinks,population,km_to_nearest_held,nearest_held,nearest_score,source,register,qid,wikidata
,Santa Cruz de Tenerife,Spain,121,211957,7.0,Tenerife North,8.5,gap,,Q14328,https://www.wikidata.org/wiki/Q14328
,Dunkirk,France,121,86263,8.6,Bergues,6.5,gap,,Q45797,https://www.wikidata.org/wiki/Q45797
,Portsmouth,United Kingdom,109,248440,4.8,Cosham,6.1,gap,,Q72259,https://www.wikidata.org/wiki/Q72259
,Corinth,Greece,96,30816,5.0,Arkhaía Kórinthos,6.4,gap,,Q103011,https://www.wikidata.org/wiki/Q103011
,Reutlingen,Germany,96,118528,9.1,Lichtenstein Castle,6.2,gap,,Q3085,https://www.wikidata.org/wiki/Q3085
,Terrassa,Spain,92,233270,14.6,Montserrat,7.8,register,unesco_creative_cities,Q13939,https://www.wikidata.org/wiki/Q13939
,Llanfairpwllgwyngyll,United Kingdom,92,3107,10.3,Caernarfon,7.8,gap,,Q322,https://www.wikidata.org/wiki/Q322
,Bradford,United Kingdom,91,293277,4.9,Saltaire,7.8,register,unesco_creative_cities,Q22905,https://www.wikidata.org/wiki/Q22905
,Recklinghausen,Germany,91,111693,8.8,Herne,6.2,gap,,Q3050,https://www.wikidata.org/wiki/Q3050
,Verbania,Italy,90,29945,4.5,Lago Maggiore (Stresa),8.1,gap,,Q3639,https://www.wikidata.org/wiki/Q3639
,Lens,France,90,32920,4.1,Loos-en-Gohelle,7.1,gap,,Q165271,https://www.wikidata.org/wiki/Q165271
,Kópavogur,Iceland,85,40040,4.2,Reykjavik (Keflavik),8.4,gap,,Q163852,https://www.wikidata.org/wiki/Q163852
,Hafnarfjörður,Iceland,85,31525,8.8,Reykjavik (Keflavik),8.4,gap,,Q103725,https://www.wikidata.org/wiki/Q103725
,Brixen,Italy,84,22816,7.7,Val di Funes,7.3,gap,,Q185541,https://www.wikidata.org/wiki/Q185541
,Verdun,France,82,16890,5.6,Bras-sur-Meuse,7.4,gap,,Q154748,https://www.wikidata.org/wiki/Q154748
,Fiumicino,Italy,82,81426,9.0,Lido di Castel Fusano,7.9,gap,,Q19326,https://www.wikidata.org/wiki/Q19326
,Saint-Germain-en-Laye,France,80,45931,4.3,Louveciennes,7.3,gap,,Q60847808,https://www.wikidata.org/wiki/Q60847808
,Ventimiglia,Italy,79,22851,4.6,Bordighera,7.3,gap,,Q191759,https://www.wikidata.org/wiki/Q191759
,Frascati,Italy,79,22794,8.0,Castel Gandolfo,7.9,gap,,Q190963,https://www.wikidata.org/wiki/Q190963
,Άργος,Greece,77,8828,9.8,Nafplio,7.9,gap,,Q189901,https://www.wikidata.org/wiki/Q189901
,Quartu Sant'Elena,Italy,76,68585,6.5,Cagliari,6.7,gap,,Q284516,https://www.wikidata.org/wiki/Q284516
,Kranj,Slovenia,76,37605,8.9,Škofja Loka,6.3,gap,,Q1021,https://www.wikidata.org/wiki/Q1021
,Agde,France,73,29939,4.7,Le Cap d'Agde,6.9,gap,,Q191396,https://www.wikidata.org/wiki/Q191396
,Katerini,Greece,73,59189,7.5,Paralía,6.8,gap,,Q210470,https://www.wikidata.org/wiki/Q210470
,Manfredonia,Italy,73,53902,8.8,Monte Sant'Angelo,6.4,gap,,Q19286,https://www.wikidata.org/wiki/Q19286
,San Benedetto del Tronto,Italy,72,46957,4.4,Grottammare,7.5,gap,,Q13140,https://www.wikidata.org/wiki/Q13140
,Ponte Buggianese,Italy,71,8717,4.9,Montecatini-Terme,7.8,gap,,Q49603,https://www.wikidata.org/wiki/Q49603
,Grottaferrata,Italy,71,20494,5.9,Castel Gandolfo,7.9,gap,,Q242703,https://www.wikidata.org/wiki/Q242703
,Aubagne,France,71,47529,8.6,Cassis,7.3,gap,,Q184047,https://www.wikidata.org/wiki/Q184047
,Formia,Italy,70,37136,5.6,Gaeta,7.8,gap,,Q128086,https://www.wikidata.org/wiki/Q128086
,Chiavari,Italy,70,27307,8.0,Sestri Levante,6.9,gap,,Q266941,https://www.wikidata.org/wiki/Q266941
,Loreto,Italy,70,12899,5.9,Recanati,6,gap,,Q124110,https://www.wikidata.org/wiki/Q124110
,Monfalcone,Italy,70,29479,9.6,Gradisca d'Isonzo,7.8,gap,,Q53133,https://www.wikidata.org/wiki/Q53133
,Libourne,France,69,25036,7.4,Saint-Émilion,7.6,gap,,Q6544,https://www.wikidata.org/wiki/Q6544
,Ruda Śląska,Poland,69,133793,8.8,Zabrze,6.2,gap,,Q108679,https://www.wikidata.org/wiki/Q108679
,Albenga,Italy,68,23376,6.2,Alassio,7.8,gap,,Q241298,https://www.wikidata.org/wiki/Q241298
,Haarlemmermeer,Netherlands,68,157789,6.5,Aalsmeerderbrug,6.9,gap,,Q9924,https://www.wikidata.org/wiki/Q9924
,Benalmádena,Spain,68,78338,7.5,Mijas,6.9,gap,,Q488869,https://www.wikidata.org/wiki/Q488869
,San Sebastián de los Reyes,Spain,68,96992,15.9,Madrid,8.5,gap,,Q484717,https://www.wikidata.org/wiki/Q484717
,Jouy-en-Josas,France,67,7981,4.6,Versailles,8.4,gap,,Q372483,https://www.wikidata.org/wiki/Q372483
,Pietrasanta,Italy,66,22870,4.1,Forte dei Marmi,7.5,gap,,Q219330,https://www.wikidata.org/wiki/Q219330
,Carpentras,France,66,31619,6.4,Pernes-les-Fontaines,7.6,gap,,Q202560,https://www.wikidata.org/wiki/Q202560
,L'Abergement-Clémenciat,France,66,860,4.6,Châtillon-sur-Chalaronne,6.8,gap,,Q204388,https://www.wikidata.org/wiki/Q204388
,Sagunto,Spain,66,73031,5.3,Canet d'En Berenguer,6.9,gap,,Q47483,https://www.wikidata.org/wiki/Q47483
,Molsheim,France,66,9318,8.9,Obernai,7.2,gap,,Q22697,https://www.wikidata.org/wiki/Q22697
,Fasano,Italy,66,38745,9.3,Locorotondo,6.7,gap,,Q51865,https://www.wikidata.org/wiki/Q51865
,Hengelo,Netherlands,66,81049,5.6,Delden,4.8,gap,,Q10006,https://www.wikidata.org/wiki/Q10006
,Sarzana,Italy,65,21650,5.7,Lerici,7.8,gap,,Q160628,https://www.wikidata.org/wiki/Q160628
,Frontignan,France,65,24136,6.6,Sète,6.5,gap,,Q216280,https://www.wikidata.org/wiki/Q216280
,Oliena,Italy,65,6582,8.5,Nuoro,6.5,gap,,Q295313,https://www.wikidata.org/wiki/Q295313
,Orbetello,Italy,64,14292,4.2,Porto Ercole,7.9,gap,,Q214849,https://www.wikidata.org/wiki/Q214849
,Liévin,France,64,30063,4.1,Loos-en-Gohelle,7.1,gap,,Q217841,https://www.wikidata.org/wiki/Q217841
,Limone sul Garda,Italy,64,1130,6.5,Malcesine,7.9,gap,,Q104973,https://www.wikidata.org/wiki/Q104973
,Nettuno,Italy,64,48033,4.1,Anzio,6.6,gap,,Q243116,https://www.wikidata.org/wiki/Q243116
,Magomadas,Italy,64,605,4.2,Bosa,6.5,gap,,Q386295,https://www.wikidata.org/wiki/Q386295
,Sagama,Italy,64,190,7.9,Bosa,6.5,gap,,Q185964,https://www.wikidata.org/wiki/Q185964
,Genzano di Roma,Italy,63,22865,6.3,Castel Gandolfo,7.9,gap,,Q242683,https://www.wikidata.org/wiki/Q242683
,Riva del Garda,Italy,63,17787,4.3,Tenno,7,gap,,Q194136,https://www.wikidata.org/wiki/Q194136
,Purmerend,Netherlands,63,81515,6.0,Edam & Volendam,6.1,gap,,Q9954,https://www.wikidata.org/wiki/Q9954
,Avigliana,Italy,63,12370,4.9,Sacra di San Michele,6.8,gap,,Q9008,https://www.wikidata.org/wiki/Q9008
,Suni,Italy,63,977,4.8,Bosa,6.5,gap,,Q388786,https://www.wikidata.org/wiki/Q388786
,Pescia,Italy,63,19223,7.0,Montecatini-Terme,7.8,gap,,Q102661,https://www.wikidata.org/wiki/Q102661
,Flussio,Italy,63,413,4.9,Bosa,6.5,gap,,Q385675,https://www.wikidata.org/wiki/Q385675
,Tergu,Italy,63,607,5.0,Castelsardo,6.5,gap,,Q391549,https://www.wikidata.org/wiki/Q391549
,Colle di Val d'Elsa,Italy,63,21550,8.4,San Gimignano,8.3,gap,,Q91192,https://www.wikidata.org/wiki/Q91192
,Agropoli,Italy,63,21262,7.9,Castellabate,7.9,gap,,Q80544,https://www.wikidata.org/wiki/Q80544
,Tinnura,Italy,63,246,5.3,Bosa,6.5,gap,,Q389275,https://www.wikidata.org/wiki/Q389275
,Tresnuraghes,Italy,63,1016,5.5,Bosa,6.5,gap,,Q389304,https://www.wikidata.org/wiki/Q389304
,Locri,Italy,63,11834,5.8,Gerace,6.5,gap,,Q54619,https://www.wikidata.org/wiki/Q54619
,Miño de Medinaceli,Spain,63,73,7.2,Medinaceli,6.7,gap,,Q830548,https://www.wikidata.org/wiki/Q830548
,Nuragus,Italy,63,839,8.9,Su Nuraxi (Barumini),6.8,gap,,Q284383,https://www.wikidata.org/wiki/Q284383
,Elefsina,Greece,62,24971,9.6,Salamína,7.2,register,eu_capital_of_culture,Q204905,https://www.wikidata.org/wiki/Q204905
,Rocca di Papa,Italy,62,17512,5.0,Castel Gandolfo,7.9,gap,,Q243228,https://www.wikidata.org/wiki/Q243228
,Chianciano Terme,Italy,62,6907,5.3,Montepulciano,7.3,gap,,Q91168,https://www.wikidata.org/wiki/Q91168
,Setzu,Italy,62,131,4.8,Su Nuraxi (Barumini),6.8,gap,,Q288302,https://www.wikidata.org/wiki/Q288302
,Turri,Italy,62,379,6.3,Su Nuraxi (Barumini),6.8,gap,,Q288392,https://www.wikidata.org/wiki/Q288392
,Béligneux,France,62,3535,7.0,Pérouges,6.9,gap,,Q211116,https://www.wikidata.org/wiki/Q211116
,Villanovafranca,Italy,62,1189,7.0,Su Nuraxi (Barumini),6.8,gap,,Q288502,https://www.wikidata.org/wiki/Q288502
,Ussaramanna,Italy,62,489,7.2,Su Nuraxi (Barumini),6.8,gap,,Q288412,https://www.wikidata.org/wiki/Q288412
,Eraclea,Italy,62,11970,9.0,Lido di Jesolo,7.3,gap,,Q47986,https://www.wikidata.org/wiki/Q47986
,Grado,Italy,62,7658,9.8,Aquileia,7.6,gap,,Q53130,https://www.wikidata.org/wiki/Q53130
,Montresta,Italy,62,438,8.3,Bosa,6.5,gap,,Q386666,https://www.wikidata.org/wiki/Q386666
,Roseto degli Abruzzi,Italy,62,25501,8.8,Giulianova,6.7,gap,,Q2081,https://www.wikidata.org/wiki/Q2081
,Fondi,Italy,62,39550,10.1,Sperlonga,7.3,gap,,Q128084,https://www.wikidata.org/wiki/Q128084
,Porto Empedocle,Italy,61,15600,4.8,Scala dei Turchi,7.2,gap,,Q432311,https://www.wikidata.org/wiki/Q432311
,Ladispoli,Italy,61,40658,4.3,Cerveteri,7.8,gap,,Q242784,https://www.wikidata.org/wiki/Q242784
,Katwijk,Netherlands,61,66607,4.2,Noordwijk-Binnen,7.3,gap,,Q208764,https://www.wikidata.org/wiki/Q208764
,Vélez-Málaga,Spain,61,86048,4.5,Torre del Mar,7,gap,,Q492741,https://www.wikidata.org/wiki/Q492741
,Chiclana de la Frontera,Spain,61,90864,7.9,San Fernando,8.2,gap,,Q277302,https://www.wikidata.org/wiki/Q277302
,Certaldo,Italy,61,15515,8.9,San Gimignano,8.3,gap,,Q82646,https://www.wikidata.org/wiki/Q82646
,Omegna,Italy,61,14294,8.7,Orta San Giulio,7.8,gap,,Q23662,https://www.wikidata.org/wiki/Q23662
,Hoogeveen,Netherlands,61,55603,4.8,Alteveer,5.8,gap,,Q208012,https://www.wikidata.org/wiki/Q208012
,Genuri,Italy,61,306,7.1,Su Nuraxi (Barumini),6.8,gap,,Q287516,https://www.wikidata.org/wiki/Q287516
,Fosdinovo,Italy,61,4574,8.8,Carrara,7.5,gap,,Q52234,https://www.wikidata.org/wiki/Q52234
,Pauli Arbarei,Italy,61,567,7.7,Su Nuraxi (Barumini),6.8,gap,,Q287917,https://www.wikidata.org/wiki/Q287917
,Montevarchi,Italy,61,24081,8.7,Loro Ciuffenna,7.5,gap,,Q52089,https://www.wikidata.org/wiki/Q52089
,La Chapelle-du-Châtelard,France,61,388,7.7,Châtillon-sur-Chalaronne,6.8,gap,,Q838362,https://www.wikidata.org/wiki/Q838362
,Arromanches-les-Bains,France,61,413,8.8,Bayeux,6.9,gap,,Q212620,https://www.wikidata.org/wiki/Q212620
,Poissy,France,61,40983,9.1,Louveciennes,7.3,gap,,Q457,https://www.wikidata.org/wiki/Q457
,Settimo Vittone,Italy,61,1507,9.5,Bard,7.4,gap,,Q10306,https://www.wikidata.org/wiki/Q10306
,Delfzijl,Netherlands,60,,4.1,Appingedam,7,gap,,Q322986,https://www.wikidata.org/wiki/Q322986
,Nemi,Italy,60,1877,6.4,Castel Gandolfo,7.9,gap,,Q243101,https://www.wikidata.org/wiki/Q243101
,San Giuliano Terme,Italy,60,30652,6.0,Pisa,7.1,gap,,Q103239,https://www.wikidata.org/wiki/Q103239
,Monte San Savino,Italy,60,8550,6.5,Lucignano,7.4,gap,,Q52086,https://www.wikidata.org/wiki/Q52086
,Martina Franca,Italy,60,46900,6.2,Locorotondo,6.7,gap,,Q52020,https://www.wikidata.org/wiki/Q52020
,Wageningen,Netherlands,60,39635,5.3,Achterberg,6.3,gap,,Q1305,https://www.wikidata.org/wiki/Q1305
,Fucecchio,Italy,60,22630,7.2,San Miniato,7,gap,,Q82699,https://www.wikidata.org/wiki/Q82699
,Meppel,Netherlands,60,34386,8.0,Darp,7.5,gap,,Q60425,https://www.wikidata.org/wiki/Q60425
,Marostica,Italy,60,13940,6.6,Bassano del Grappa,6.2,gap,,Q48090,https://www.wikidata.org/wiki/Q48090
,Borgo San Lorenzo,Italy,60,18102,8.0,Sant'Agata,7.1,gap,,Q82619,https://www.wikidata.org/wiki/Q82619
,San Vincenzo,Italy,60,6447,7.6,Campiglia Marittima,6.5,gap,,Q157876,https://www.wikidata.org/wiki/Q157876
,Gardone Riviera,Italy,56,2626,10.7,Lake Garda,8.1,register,it_borghi_piu_belli,Q104619,https://www.wikidata.org/wiki/Q104619
,Castel del Monte,Italy,51,431,4.9,Rocca Calascio,6.5,register,it_borghi_piu_belli,Q50071,https://www.wikidata.org/wiki/Q50071
,Mezzano,Italy,51,1587,12.6,San Martino di Castrozza,6.4,register,it_borghi_piu_belli,Q295486,https://www.wikidata.org/wiki/Q295486
,Crespi d'Adda,Italy,44,,15.1,Bergamo (Città Alta),7.9,register,unesco_whc,Q726842,https://www.wikidata.org/wiki/Q726842
,Kuhmo,Finland,41,7582,120.4,Koli National Park,6.3,register,unesco_creative_cities,Q939771,https://www.wikidata.org/wiki/Q939771
,La Flotte,France,40,3150,7.2,Île de Ré,7.3,register,fr_plus_beaux_villages,Q818583,https://www.wikidata.org/wiki/Q818583
,Saint-Savin,France,39,816,14.5,Angles-sur-l'Anglin,6.8,register,unesco_whc,Q738657,https://www.wikidata.org/wiki/Q738657
,Llíria,Spain,38,25333,25.1,Valencia,7.8,register,unesco_creative_cities,Q23067,https://www.wikidata.org/wiki/Q23067
,Winslow,United Kingdom,23,4407,13.2,Stony Stratford,6.3,register,gb_market_town,Q1113295,https://www.wikidata.org/wiki/Q1113295
,Borgo Valbelluna,Italy,17,13410,11.3,Cison di Valmarino,7.4,register,it_borghi_piu_belli,Q61162252,https://www.wikidata.org/wiki/Q61162252
,Klirou,Cyprus,11,1847,20.8,Lefkara,5.9,register,unesco_tentative,Q672215,https://www.wikidata.org/wiki/Q672215
